chó;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/609795e41baf92f4097f37ad13d7c003.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/3d6edba704e3780488bc04b478a0a356.mp3
Tui thích chó.;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/ec09b8319e7fc3fd3705bd25a6600967.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/8655962f04d80cac5301f0bbcc815a32.mp3
mèo;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/221517367b5e254de3292f30e5a83a63.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/69367d9194be856a47247eb05fcdf506.mp3
Bạn thích mèo nào?;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/68405c7cd54f4b25a896ee9c849327d6.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/6e4f1f54fc1cacdad49b2624a6e9cf35.mp3
nào;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/9d4dec220ba11939fa0ab53704b75563.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/f795e183e7e807c33bb89ec78b9bea7f.mp3
chưa bao giờ;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/6983b0ce49130562b363f8b10477b52b.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/01227346793f18f5e3824301f5d0f063.mp3
Ổng chưa bao giờ ăn cá ở Việt Nam.;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/f2e8163b7683ccac0162660a4abc3cbe.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/8431a0f2938fdf116a77799c0200f61f.mp3
đồ ăn;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/2070d2007c6ccba87016af0629c67e12.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/85e35ef1096f275fc2b40439c56f840c.mp3
Bạn thích đồ ăn Việt Nam không?;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/a627a05c169405f527702d6de1ae766e.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/2f2b923cdad67830251781e29fa2cb66.mp3
Việt Nam;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/9dead422f8beb23681fbc049d7708ea6.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/2bc9d535bdac473e1fa38f390d94f6b2.mp3
